level1,level2,level3,weight,direction,source,unit,sheet,weight_l2,match_type,raw_cols,formula,confidence
人才,人才规模,科研综合技术服务业从业人员数 / 年末从业人员数（%）,0.028125,+,nan  【模糊候选: 科研综合技术服务业从业人员数/年末从业人员数(0.941) | 信息传输计算机软件业从业人员数/年末从业人员数(0.471) | R&D人员/年末从业人员数(0.471)】,,地级市,0.324369,fuzzy,科研综合技术服务业从业人员数/年末从业人员数,,0.941
人才,人才规模,R&D人员（万人） / 年末从业人员数（%）,0.707412,+,nan  【模糊候选: R&D人员/年末从业人员数(0.917) | 科研综合技术服务业从业人员数/年末从业人员数(0.5) | 信息传输计算机软件业从业人员数/年末从业人员数(0.471)】,,地级市,0.324369,fuzzy,R&D人员/年末从业人员数,,0.917
人才,人才结构,信息技术人才占比（信息传输、软件和信息技术服务业从业人员/年末从业人员，%）,0.847879,+,nan  【模糊候选: 信息技术人才/万人(0.75)】,,地级市,0.139677,fuzzy,信息技术人才/万人,,0.75
人才,人才结构,人力资本水平（人均受教育年限，年）,0.102194,+,,,地级市,0.139677,exact,人力资本水平,,0.95
人才,人才结构,信息传输计算机服务和软件业从业人员占比（%）,0.049927,+,nan  【模糊候选: 信息传输计算机软件业从业人员数/年末从业人员数(0.722)】,,地级市,0.139677,fuzzy,信息传输计算机软件业从业人员数/年末从业人员数,,0.722
人才,人才发展环境,是否实施了人才新政（虚拟变量 0/1）,0.1077,+,,,地级市,0.254018,exact,是否实施了人才新政,,0.95
人才,人才发展环境,建成区绿化覆盖率（%）,0.381998,+,,,地级市,0.254018,exact,建成区绿化覆盖率,,0.95
人才,人才发展环境,人均建成区绿地面积（平方米/人）,0.083821,+,nan  【模糊候选: 建成区绿地面积(1.0) | 建成区绿化覆盖率(0.444) | 公园绿地面积(0.444)】,,地级市,0.254018,fuzzy,建成区绿地面积,,1.0
人才,人才发展环境,每万人口规模以上工业企业数（个/万人）,0.426481,+,nan  【模糊候选: 规模以上工业企业数(1.0) | 每万人口高校毕业生数(0.5) | 每万人口在校高校学生数(0.417)】,,地级市,0.254018,fuzzy,规模以上工业企业数,,1.0
人才,人才产出,人才经济系数（人才对经济的贡献，可定义为人才GDP弹性等）,0.874922,+,,,地级市,0.281936,exact,人才经济系数,,0.95
人才,人才产出,每万人口人才称号数量（人次/万人）,0.125078,+,nan  【模糊候选: 每万人口在校高校学生数(0.5) | 每万人口高校毕业生数(0.5)】,,地级市,0.281936,fuzzy,每万人口在校高校学生数,,0.5
