level1,level2,level3,weight,direction,source,unit,sheet,weight_l2,match_type,raw_cols,formula,confidence
科技,科技基础,每万人口工业机器人保有量（台/万人）,0.075653,+,nan  【模糊候选: 工业机器人密度(0.455) | 每万人口高校毕业生数(0.455)】,,省份,0.038302,fuzzy,工业机器人密度,,0.455
科技,科技基础,人工智能应用水平（指数或渗透率）,0.089753,+,,,省份,0.038302,exact,人工智能应用水平,,0.95
科技,科技基础,互联网普及率（%）,0.148687,+,nan  【模糊候选: 互联网普及度(0.833)】,,省份,0.038302,fuzzy,互联网普及度,,0.833
科技,科技基础,人均电信业务量（元/人）,0.14292,+,nan  【模糊候选: 电信业务总量(0.714)】,,省份,0.038302,fuzzy,电信业务总量,,0.714
科技,科技基础,产业结构高级化指数（三产/二产）,0.080042,+,nan  【模糊候选: 产业结构高级化(1.0) | 产业结构指数(0.667) | 人力资本结构高级化指数(0.636)】,,省份,0.038302,fuzzy,产业结构高级化,,1.0
科技,科技基础,产业结构指数（可能为泰尔指数等）,0.007309,+,,,省份,0.038302,exact,产业结构指数,,0.95
科技,科技基础,每百万人口研究与开发机构数（个/百万人）,0.253543,+,nan  【模糊候选: 研究与开发机构数量(0.615)】,,省份,0.038302,fuzzy,研究与开发机构数量,,0.615
科技,科技基础,每百万人口高技术产业企业数（个/百万人）,0.131037,+,nan  【模糊候选: 高技术产业企业数量(0.583) | 每万人口高校毕业生数(0.583)】,,省份,0.038302,fuzzy,高技术产业企业数量,,0.583
科技,科技环境,科研经费利用效率（论文或专利/R&D经费）,0.562647,+,nan  【模糊候选: 科研经费利用效果(0.875) | 科研经费投入强度(0.5) | 科研经费投入力度(0.5)】,,省份,0.161881,fuzzy,科研经费利用效果,,0.875
科技,科技环境,全员劳动生产率（万元/人）,0.065088,+,,,省份,0.161881,exact,全员劳动生产率,,0.95
科技,科技环境,万元GDP综合能耗（吨标准煤/万元）,0.000291,+,nan  【模糊候选: 综合能耗产出率(0.444)】,,省份,0.161881,fuzzy,综合能耗产出率,,0.444
科技,科技环境,资源利用指数（综合）,0.168433,+,,,省份,0.161881,exact,资源利用指数,,0.95
科技,科技环境,环境污染治理投资占GDP比重（%）,0.040479,+,nan  【模糊候选: 环境污染治理投资额(0.571) | 国家财政性教育经费占GDP比重(0.4)】,,省份,0.161881,fuzzy,环境污染治理投资额,,0.571
科技,科技环境,政府支持力度（科技拨款/财政支出）,0.163062,+,nan  【模糊候选: 政府支持(1.0)】,,省份,0.161881,fuzzy,政府支持,,1.0
人才,人才规模,人才人口密度（人/平方公里）,0.434987,+,,,省份,0.19986,exact,人才人口密度,,0.95
人才,人才规模,科研综合技术服务业从业人员数 / 年末从业人员数（%）,0.076824,+,nan  【模糊候选: 科研综合技术服务业从业人员数/年末从业人员数(0.941) | 信息传输计算机软件业从业人员数/年末从业人员数(0.471) | R&D人员/年末从业人员数(0.471)】,,省份,0.19986,fuzzy,科研综合技术服务业从业人员数/年末从业人员数,,0.941
人才,人才规模,R&D人员（万人） / 年末从业人员数（%）,0.234037,+,nan  【模糊候选: R&D人员/年末从业人员数(0.917) | 科研综合技术服务业从业人员数/年末从业人员数(0.5) | 普通高校R&D全时人员数（人年）(0.5)】,,省份,0.19986,fuzzy,R&D人员/年末从业人员数,,0.917
人才,人才规模,规模以上工业企业R&D人员全时当量（人年）→ 每万人口全时当量（人年/万人）,0.254152,+,nan  【模糊候选: 规模以上工业企业 R&D 人员全时当量(0.81)】,,省份,0.19986,fuzzy,规模以上工业企业 R&D 人员全时当量,,0.81
人才,人才结构,高级职称人才占从业人员比例（%）,0.182655,+,nan  【模糊候选: 高级职称人才占人口比例(0.75) | 教育从业人员占从业人员比重(0.5)】,,省份,0.058269,fuzzy,高级职称人才占人口比例,,0.75
人才,人才结构,信息技术人才占比（信息传输、软件和信息技术服务业从业人员/年末从业人员，%）,0.432606,+,nan  【模糊候选: 信息技术人才(1.0) | 高级职称人才占人口比例(0.4)】,,省份,0.058269,fuzzy,信息技术人才,,1.0
人才,人才结构,人力资本水平（人均受教育年限，年）,0.13225,+,,,省份,0.058269,exact,人力资本水平,,0.95
人才,人才结构,人力资本结构高级化指数（高技能/低技能比值）,0.043931,+,,,省份,0.058269,exact,人力资本结构高级化指数,,0.95
人才,人才结构,信息传输计算机服务和软件业从业人员占比（%）,0.208558,+,nan  【模糊候选: 信息传输计算机软件业从业人员数/年末从业人员数(0.722)】,,省份,0.058269,fuzzy,信息传输计算机软件业从业人员数/年末从业人员数,,0.722
人才,人才发展环境,是否实施了人才新政（虚拟变量 0/1）,0.157149,+,,,省份,0.33464,exact,是否实施了人才新政,,0.95
人才,人才发展环境,科研人员平均工资水平（万元/年）,0.035589,+,nan  【模糊候选: 科研人员平均工资水平 / 万元(1.0) | 人工智能应用水平(0.444) | 人才平均科技论文(0.444)】,,省份,0.33464,fuzzy,科研人员平均工资水平 / 万元,,1.0
人才,人才发展环境,科研人员人均科技研发经费投入（万元/人）,0.713433,+,nan  【模糊候选: 科研人员人均科技相关研发经费投入 / 万元(0.647) | 科技人员投入强度(0.545) | 科技人员投入质量(0.545)】,,省份,0.33464,fuzzy,科研人员人均科技相关研发经费投入 / 万元,,0.647
人才,人才发展环境,每万人口规模以上工业企业数（个/万人）,0.093829,+,nan  【模糊候选: 规模以上工业企业数(1.0) | 每万人口高校毕业生数(0.5) | 规模以上工业企业 R&D 人员全时当量(0.471)】,,省份,0.33464,fuzzy,规模以上工业企业数,,1.0
人才,人才产出,人才平均科技论文（篇/人）,0.321296,+,,,省份,0.407231,exact,人才平均科技论文,,0.95
人才,人才产出,人才平均科技成果（项/人）,0.218659,+,,,省份,0.407231,exact,人才平均科技成果,,0.95
人才,人才产出,人才平均专利数（件/人）,0.047627,+,,,省份,0.407231,exact,人才平均专利数,,0.95
人才,人才产出,人才经济系数（人才对经济的贡献，可定义为人才GDP弹性等）,0.321861,+,,,省份,0.407231,exact,人才经济系数,,0.95
人才,人才产出,每万人口人才称号数量（人次/万人）,0.090557,+,nan  【模糊候选: 每万人口高校毕业生数(0.5) | 高级职称人才占人口比例(0.4)】,,省份,0.407231,fuzzy,每万人口高校毕业生数,,0.5
