level1,level2,level3,weight,direction,source,unit,sheet,weight_l2,match_type,raw_cols,formula,confidence
教育,教育投入,教育从业人员占从业人员比重（%）,0.1195,+,原已为占比，保留,,全国,0.5546,exact,教育从业人员占从业人员比重,,0.95
教育,教育投入,教育业平均工资与社会平均工资之比（%）,0.092,+,原“教育业平均工资” → 相对化（可选，亦可保留绝对值）  【模糊候选: 教育业平均工资/万元(0.583)】,,全国,0.5546,fuzzy,教育业平均工资/万元,,0.583
教育,教育投入,每万人口普通高校R&D全时人员数（人/万人）,0.196,+,原“普通高校R&D全时人员数” → 除以常住人口  【模糊候选: 普通高校R&D全时人员数（人年）(1.0) | 普通高校R&D课题数(0.533) | 普通高等学校在校生人数/年末人口(0.467)】,,全国,0.5546,fuzzy,普通高校R&D全时人员数（人年）,,1.0
教育,教育投入,每万人口普通高校R&D课题数（项/万人）,0.064,+,原“普通高校R&D课题数” → 除以常住人口  【模糊候选: 普通高校R&D课题数(1.0) | 普通高校R&D全时人员数（人年）(0.643) | 普通高等学校在校生人数/年末人口(0.5)】,,全国,0.5546,fuzzy,普通高校R&D课题数,,1.0
教育,教育产出,每万人口普通高校发表科技论文数（篇/万人）,0.1545,+,原“普通高校发表科技论文数” → 除以常住人口  【模糊候选: 普通高校发表科技论文数(1.0) | 普通高等学校在校生人数/年末人口(0.467) | 每万人口高校毕业生数(0.467)】,,全国,0.2348,fuzzy,普通高校发表科技论文数,,1.0
教育,教育产出,人均普通高校专利转让、许可收入（元/人）,0.762,+,原“专利转让、许可收入” → 除以常住人口  【模糊候选: 普通高校专利转让、许可收入/万元(0.812)】,,全国,0.2348,fuzzy,普通高校专利转让、许可收入/万元,,0.812
教育,教育产出,每万人口普通高校出版科技著作数（部/万人）,0.0835,+,原“普通高校出版科技著作数” → 除以常住人口  【模糊候选: 普通高校出版科技著作数(1.0) | 普通高等学校在校生人数/年末人口(0.467) | 每万人口高校毕业生数(0.467)】,,全国,0.2348,fuzzy,普通高校出版科技著作数,,1.0
科技,科技投入,每万人口科技人员数（人/万人）,0.2943,+,原“科技人员投入强度”可能已是相对量，统一为每万人口。需明确具体指标  【模糊候选: 每万人口高校毕业生数(0.5) | 科技人员投入强度(0.5) | 科技人员投入质量(0.5)】,,全国,0.0842,fuzzy,每万人口高校毕业生数,,0.5
科技,科技投入,科技人员中高层次人才占比（%）,0.3535,+,原“科技人员投入质量” → 建议用硕博士或高级职称占比。需明确具体指标  【模糊候选: 高级职称人才占人口比例(0.455)】,,全国,0.0842,fuzzy,高级职称人才占人口比例,,0.455
科技,科技投入,R&D经费占GDP比重（%）,0.2942,+,原“科研经费投入强度”，保留  【模糊候选: 国家财政性教育经费占GDP比重(0.533)】,,全国,0.0842,fuzzy,国家财政性教育经费占GDP比重,,0.533
科技,科技投入,人均R&D经费（元/人）,0.058,+,原“科研经费投入力度”→ 可转化为人均或占GDP比重，选人均。需明确具体指标  【模糊候选: 生均教育经费支出(0.375) | R&D人员/年末从业人员数(0.364) | 普通高校R&D全时人员数（人年）(0.333)】,,全国,0.0842,fuzzy,生均教育经费支出,,0.375
科技,科技产出,政府科技支出占财政支出比重（%）,0.0679,+,原“政府科技投入强度”，保留，需明确具体指标  【模糊候选: 政府科技投入强度(0.4)】,,全国,0.4781,fuzzy,政府科技投入强度,,0.4
科技,科技产出,每万人口发明专利授权数（件/万人）,0.1346,+,原“发明专利授予数量” → 除以常住人口  【模糊候选: 发明专利授予数（个）(0.545) | 实用新型专利申请授权数（件）(0.455) | 每万人口高校毕业生数(0.455)】,,全国,0.4781,fuzzy,发明专利授予数（个）,,0.545
科技,科技产出,每万人口实用新型授权数（件/万人）,0.1749,+,原“实用新型授予数量” → 除以常住人口  【模糊候选: 实用新型专利申请授权数（件）(0.636) | 每万人口高校毕业生数(0.455)】,,全国,0.4781,fuzzy,实用新型专利申请授权数（件）,,0.636
科技,科技产出,人均技术市场交易额（元/人）,0.1648,+,原“技术市场交易额” → 除以常住人口  【模糊候选: 技术市场交易额/万元(0.7) | 技术市场活跃度(0.444)】,,全国,0.4781,fuzzy,技术市场交易额/万元,,0.7
科技,科技产出,技术市场活跃度（技术交易额/GDP）,0.1122,+,原“技术市场活跃度”（可能已是占比），保留,,全国,0.4781,exact,技术市场活跃度,,0.95
科技,科技产出,人均新产品销售收入（元/人）,0.3456,+,原“新产品销售收入” → 除以常住人口  【模糊候选: 新产品销售收入(1.0)】,,全国,0.4781,fuzzy,新产品销售收入,,1.0
科技,科技基础,科学技术水平（综合指数）,0.0587,+,原“科学技术水平”（可能为合成指标），保留  【模糊候选: 科学支出水平(0.667)】,,全国,0.418,fuzzy,科学支出水平,,0.667
科技,科技基础,每万人口工业机器人保有量（台/万人）,0.0516,+,原“工业机器人密度”通常已是此单位，保留  【模糊候选: 工业机器人密度(0.455) | 每万人口高校毕业生数(0.455)】,,全国,0.418,fuzzy,工业机器人密度,,0.455
科技,科技基础,人工智能应用水平（指数或渗透率）,0.1258,+,原指标，保留（需明确定义）  【模糊候选: 人工智能应用水平(‰)(1.0)】,,全国,0.418,fuzzy,人工智能应用水平(‰),,1.0
科技,科技基础,互联网普及率（%）,0.087,+,原“互联网普及度”，保留  【模糊候选: 互联网普及度(0.833)】,,全国,0.418,fuzzy,互联网普及度,,0.833
科技,科技基础,人均电信业务量（元/人）,0.421,+,原“电信业务总量” → 除以常住人口  【模糊候选: 电信业务总量(0.714)】,,全国,0.418,fuzzy,电信业务总量,,0.714
科技,科技基础,产业结构高级化指数（三产/二产）,0.0993,+,原“产业结构高级化”，保留  【模糊候选: 产业结构高级化(1.0) | 产业结构指数(0.667)】,,全国,0.418,fuzzy,产业结构高级化,,1.0
科技,科技基础,产业结构指数（可能为泰尔指数等）,0.0322,+,原指标，保留,,全国,0.418,exact,产业结构指数,,0.95
科技,科技基础,每百万人口研究与开发机构数（个/百万人）,0.0669,+,原“研究与开发机构数量” → 除以常住人口（百万人）  【模糊候选: 研究与开发机构数量(0.615)】,,全国,0.418,fuzzy,研究与开发机构数量,,0.615
科技,科技基础,每百万人口高技术产业企业数（个/百万人）,0.0575,+,原“高技术产业企业数量” → 除以常住人口  【模糊候选: 高技术产业企业数量(0.583) | 每万人口高校毕业生数(0.583)】,,全国,0.418,fuzzy,高技术产业企业数量,,0.583
科技,科技环境,科研经费利用效率（论文或专利/R&D经费）,0.1711,+,原“科研经费利用效率”，保留  【模糊候选: 科研经费利用效果(0.875) | 科研经费投入强度(0.5) | 科研经费投入力度(0.5)】,,全国,0.0197,fuzzy,科研经费利用效果,,0.875
科技,科技环境,全员劳动生产率（万元/人）,0.1438,+,原已为人均产出，保留,,全国,0.0197,exact,全员劳动生产率,,0.95
科技,科技环境,万元GDP综合能耗（吨标准煤/万元）,0.1635,+,原“综合能耗产出率”的倒数，或直接使用产出率（如GDP/能耗），需明确方向  【模糊候选: 综合能耗产出率(0.444)】,,全国,0.0197,fuzzy,综合能耗产出率,,0.444
科技,科技环境,资源利用指数（综合）,0.2615,+,原指标，保留,,全国,0.0197,exact,资源利用指数,,0.95
科技,科技环境,环境污染治理投资占GDP比重（%）,0.1374,+,原“环境污染治理投资额” → 除以GDP  【模糊候选: 环境污染治理投资额(0.571) | 国家财政性教育经费占GDP比重(0.4)】,,全国,0.0197,fuzzy,环境污染治理投资额,,0.571
科技,科技环境,政府支持力度（科技拨款/财政支出）,0.1227,+,原“政府支持”可能与投入中的“政府科技投入强度”重复，建议保留其一  【模糊候选: 政府支持(1.0)】,,全国,0.0197,fuzzy,政府支持,,1.0
人才,人才规模,人才人口密度（人/平方公里）,0.1018,+,原“人才人口密度”,,全国,0.3444,exact,人才人口密度,,0.95
人才,人才规模,普通高等学校在校生人数 / 年末人口数量（%）,0.0346,+,原“人才储备水平”  【模糊候选: 普通高等学校在校生人数/年末人口(0.875) | 普通高校专任教师数与在校学生数之比(0.5) | 高等教育普通本专科学生毕（结）业生数(0.438)】,,全国,0.3444,fuzzy,普通高等学校在校生人数/年末人口,,0.875
人才,人才规模,科研综合技术服务业从业人员数 / 年末从业人员数（%）,0.7375,+,原“人才技能水平”  【模糊候选: 科研综合技术服务业从业人员数/年末从业人员数(0.941) | 信息传输计算机软件业从业人员数/年末从业人员数(0.471) | R&D人员/年末从业人员数(0.471)】,,全国,0.3444,fuzzy,科研综合技术服务业从业人员数/年末从业人员数,,0.941
人才,人才规模,R&D人员（万人） / 年末从业人员数（%）,0.0595,+,原“人才技能水平”  【模糊候选: R&D人员/年末从业人员数(0.917) | 科研综合技术服务业从业人员数/年末从业人员数(0.5) | 普通高校R&D全时人员数（人年）(0.5)】,,全国,0.3444,fuzzy,R&D人员/年末从业人员数,,0.917
人才,人才规模,规模以上工业企业R&D人员全时当量（人年）→ 每万人口全时当量（人年/万人）,0.0666,+,原绝对量转化  【模糊候选: 规模以上工业企业 R&D 人员全时当量(0.81)】,,全国,0.3444,fuzzy,规模以上工业企业 R&D 人员全时当量,,0.81
人才,人才结构,高级职称人才占从业人员比例（%）,0.1831,+,原“高级职称人才占人口比例”可统一分母  【模糊候选: 高级职称人才占人口比例(0.75) | 教育从业人员占从业人员比重(0.5)】,,全国,0.1717,fuzzy,高级职称人才占人口比例,,0.75
人才,人才结构,信息技术人才占比（信息传输、软件和信息技术服务业从业人员/年末从业人员，%）,0.4281,+,原“信息技术人才”  【模糊候选: 信息技术人才(1.0) | 高级职称人才占人口比例(0.4)】,,全国,0.1717,fuzzy,信息技术人才,,1.0
人才,人才结构,人力资本水平（人均受教育年限，年）,0.0892,+,原指标,,全国,0.1717,exact,人力资本水平,,0.95
人才,人才结构,信息传输计算机服务和软件业从业人员占比（%）,0.2996,+,原“人才储备水平”下，与信息技术人才可能重复，可合并或保留其一  【模糊候选: 信息传输计算机软件业从业人员数/年末从业人员数(0.722)】,,全国,0.1717,fuzzy,信息传输计算机软件业从业人员数/年末从业人员数,,0.722
人才,人才发展环境,是否实施了人才新政（虚拟变量 0/1）,0.6557,+,原指标,,全国,0.3451,exact,是否实施了人才新政,,0.95
人才,人才发展环境,科研人员平均工资水平（万元/年）,0.1118,+,原指标（可保留绝对值）  【模糊候选: 科研人员平均工资水平 / 万元(1.0)】,,全国,0.3451,fuzzy,科研人员平均工资水平 / 万元,,1.0
人才,人才发展环境,科研人员人均科技研发经费投入（万元/人）,0.1026,+,原指标  【模糊候选: 科研人员人均科技相关研发经费投入 / 万元(0.647) | 科技人员投入强度(0.545) | 科技人员投入质量(0.545)】,,全国,0.3451,fuzzy,科研人员人均科技相关研发经费投入 / 万元,,0.647
人才,人才发展环境,每万人口规模以上工业企业数（个/万人）,0.1299,+,原“规模以上工业企业数”转化  【模糊候选: 规模以上工业企业数(1.0) | 每万人口高校毕业生数(0.5) | 规模以上工业企业 R&D 人员全时当量(0.471)】,,全国,0.3451,fuzzy,规模以上工业企业数,,1.0
人才,人才产出,人才平均科技论文（篇/人）,0.3823,+,原指标,,全国,0.1388,exact,人才平均科技论文,,0.95
人才,人才产出,人才平均科技成果（项/人）,0.1126,+,原指标,,全国,0.1388,exact,人才平均科技成果,,0.95
人才,人才产出,人才平均专利数（件/人）,0.2101,+,原指标,,全国,0.1388,exact,人才平均专利数,,0.95
人才,人才产出,人才经济系数（人才对经济的贡献，可定义为人才GDP弹性等）,0.165,+,原指标，需明确,,全国,0.1388,exact,人才经济系数,,0.95
人才,人才产出,每万人口人才称号数量（人次/万人）,0.13,+,"将以下8类称号获得人数加总，除以常住人口（万人）： 中国科协青年人才托举工程、博士后创新人才支持计划、长江学者、万人青拔、优青、国家卓越工程师奖、光华工程科技奖、全国创新争先奖  【列举式加总，匹配列=['中国科协青年人才托举工程', '博士后创新人才支持计划', '长江学者', '万人青拔', '优青', '国家卓越工程师奖', '光华工程科技奖', '全国创新争先奖']】",,全国,0.1388,formula,"中国科协青年人才托举工程,博士后创新人才支持计划,长江学者,万人青拔,优青,国家卓越工程师奖,光华工程科技奖,全国创新争先奖","col[""中国科协青年人才托举工程""] + col[""博士后创新人才支持计划""] + col[""长江学者""] + col[""万人青拔""] + col[""优青""] + col[""国家卓越工程师奖""] + col[""光华工程科技奖""] + col[""全国创新争先奖""] / col[""常住人口""]",0.75
