level1,level2,level3,weight,direction,source,unit,sheet,weight_l2
科技,科技环境,万元GDP综合能耗（吨标准煤/万元）,0.1635,+,原“综合能耗产出率”的倒数，或直接使用产出率（如GDP/能耗），需明确方向,,全国,0.0197
科技,科技环境,资源利用指数（综合）,0.2615,+,原指标，保留,,全国,0.0197
科技,科技环境,环境污染治理投资占GDP比重（%）,0.1374,+,原“环境污染治理投资额” → 除以GDP,,全国,0.0197
科技,科技环境,政府支持力度（科技拨款/财政支出）,0.1227,+,原“政府支持”可能与投入中的“政府科技投入强度”重复，建议保留其一,,全国,0.0197
人才,人才规模,人才人口密度（人/平方公里）,0.1018,+,原“人才人口密度”,,全国,0.3444
人才,人才规模,普通高等学校在校生人数 / 年末人口数量（%）,0.0346,+,原“人才储备水平”,,全国,0.3444
人才,人才规模,科研综合技术服务业从业人员数 / 年末从业人员数（%）,0.7375,+,原“人才技能水平”,,全国,0.3444
人才,人才规模,R&D人员（万人） / 年末从业人员数（%）,0.0595,+,原“人才技能水平”,,全国,0.3444
人才,人才规模,规模以上工业企业R&D人员全时当量（人年）→ 每万人口全时当量（人年/万人）,0.0666,+,原绝对量转化,,全国,0.3444
人才,人才结构,高级职称人才占从业人员比例（%）,0.1831,+,原“高级职称人才占人口比例”可统一分母,,全国,0.1717
人才,人才结构,信息技术人才占比（信息传输、软件和信息技术服务业从业人员/年末从业人员，%）,0.4281,+,原“信息技术人才”,,全国,0.1717
人才,人才结构,人力资本水平（人均受教育年限，年）,0.0892,+,原指标,,全国,0.1717
人才,人才结构,信息传输计算机服务和软件业从业人员占比（%）,0.2996,+,原“人才储备水平”下，与信息技术人才可能重复，可合并或保留其一,,全国,0.1717
人才,人才发展环境,是否实施了人才新政（虚拟变量 0/1）,0.6557,+,原指标,,全国,0.3451
人才,人才发展环境,科研人员平均工资水平（万元/年）,0.1118,+,原指标（可保留绝对值）,,全国,0.3451
人才,人才发展环境,科研人员人均科技研发经费投入（万元/人）,0.1026,+,原指标,,全国,0.3451
人才,人才发展环境,每万人口规模以上工业企业数（个/万人）,0.1299,+,原“规模以上工业企业数”转化,,全国,0.3451
人才,人才产出,人才平均科技论文（篇/人）,0.3823,+,原指标,,全国,0.1388
人才,人才产出,人才平均科技成果（项/人）,0.1126,+,原指标,,全国,0.1388
人才,人才产出,人才平均专利数（件/人）,0.2101,+,原指标,,全国,0.1388
人才,人才产出,人才经济系数（人才对经济的贡献，可定义为人才GDP弹性等）,0.165,+,原指标，需明确,,全国,0.1388
人才,人才产出,每万人口人才称号数量（人次/万人）,0.13,+,将以下8类称号获得人数加总，除以常住人口（万人）： 中国科协青年人才托举工程、博士后创新人才支持计划、长江学者、万人青拔、优青、国家卓越工程师奖、光华工程科技奖、全国创新争先奖,,全国,0.1388
